CDIGO DO MUNICPIO - TOM;CDIGO DO MUNICPIO - IBGE;MUNICPIO - TOM;MUNICPIO - IBGE;UF
1611;2400604;ALMINO AFONSO;Almino Afonso;RN
1613;2400703;ALTO DO RODRIGUES;Alto do Rodrigues;RN
1615;2400802;ANGICOS;Angicos;RN
1617;2400901;ANTNIO MARTINS;Antnio Martins;RN
1619;2401008;APODI;Apodi;RN
1621;2401107;AREIA BRANCA;Areia Branca;RN
1623;2401206;ARS;Ars;RN
1625;2401305;CAMPO GRANDE;Campo Grande;RN
1627;2401404;BAA FORMOSA;Baa Formosa;RN
1629;2401503;BARCELONA;Barcelona;RN
1631;2401602;BENTO FERNANDES;Bento Fernandes;RN
1633;2401701;BOM JESUS;Bom Jesus;RN
1635;2401800;BREJINHO;Brejinho;RN
1637;2401909;CAIARA DO RIO DO VENTO;Caiara do Rio do Vento;RN
1639;2402006;CAIC;Caic;RN
1641;2402105;CAMPO REDONDO;Campo Redondo;RN
1643;2402204;CANGUARETAMA;Canguaretama;RN
1645;2402303;CARABAS;Carabas;RN
1647;2402402;CARNABA DOS DANTAS;Carnaba dos Dantas;RN
1649;2402501;CARNAUBAIS;Carnaubais;RN
1651;2402600;CEAR-MIRIM;Cear-Mirim;RN
1653;2402709;CERRO COR;Cerro Cor;RN
1655;2402808;CORONEL EZEQUIEL;Coronel Ezequiel;RN
1657;2402907;CORONEL JOO PESSOA;Coronel Joo Pessoa;RN
1659;2403004;CRUZETA;Cruzeta;RN
1661;2403103;CURRAIS NOVOS;Currais Novos;RN
1663;2403202;DOUTOR SEVERIANO;Doutor Severiano;RN
1665;2403301;ENCANTO;Encanto;RN
1667;2403400;EQUADOR;Equador;RN
1669;2403509;ESPRITO SANTO;Esprito Santo;RN
1671;2403608;EXTREMOZ;Extremoz;RN
1673;2403707;FELIPE GUERRA;Felipe Guerra;RN
1675;2403806;FLORNIA;Flornia;RN
1677;2403905;FRANCISCO DANTAS;Francisco Dantas;RN
1679;2404101;GALINHOS;Galinhos;RN
1681;2404200;GOIANINHA;Goianinha;RN
1683;2404309;GOVERNADOR DIX-SEPT ROSADO;Governador Dix-Sept Rosado;RN
1685;2404408;GROSSOS;Grossos;RN
1687;2404507;GUAMAR;Guamar;RN
1689;2404606;IELMO MARINHO;Ielmo Marinho;RN
1691;2404705;IPANGUAU;Ipanguau;RN
1693;2404804;IPUEIRA;Ipueira;RN
1695;2404903;ITA;Ita;RN
1697;2405009;JAAN;Jaan;RN
1699;2405108;JANDARA;Jandara;RN
1701;2405207;JANDUS;Jandus;RN
1703;2405306;BOA SADE;Janurio Cicco;RN
1705;2405405;JAPI;Japi;RN
1707;2405504;JARDIM DE ANGICOS;Jardim de Angicos;RN
1709;2405603;JARDIM DE PIRANHAS;Jardim de Piranhas;RN
1711;2405702;JARDIM DO SERID;Jardim do Serid;RN
1713;2405801;JOO CMARA;Joo Cmara;RN
1715;2405900;JOO DIAS;Joo Dias;RN
1717;2406007;JOS DA PENHA;Jos da Penha;RN
1719;2406106;JUCURUTU;Jucurutu;RN
1721;2407609;MESSIAS TARGINO;Messias Targino;RN
1723;2406205;Lagoa d'Anta;Lagoa d'Anta;RN
1725;2406304;LAGOA DE PEDRAS;Lagoa de Pedras;RN
1727;2406403;LAGOA DE VELHOS;Lagoa de Velhos;RN
1729;2406502;LAGOA NOVA;Lagoa Nova;RN
1731;2406601;LAGOA SALGADA;Lagoa Salgada;RN
1733;2406700;LAJES;Lajes;RN
1735;2406809;LAJES PINTADAS;Lajes Pintadas;RN
1737;2406908;LUCRCIA;Lucrcia;RN
1739;2407005;LUS GOMES;Lus Gomes;RN
1741;2407104;MACABA;Macaba;RN
1743;2407203;MACAU;Macau;RN
1745;2407302;MARCELINO VIEIRA;Marcelino Vieira;RN
1747;2407401;MARTINS;Martins;RN
1749;2407500;MAXARANGUAPE;Maxaranguape;RN
1751;2404002;FRUTUOSO GOMES;Frutuoso Gomes;RN
1753;2407708;MONTANHAS;Montanhas;RN
1755;2407807;MONTE ALEGRE;Monte Alegre;RN
1757;2407906;MONTE DAS GAMELEIRAS;Monte das Gameleiras;RN
1759;2408003;MOSSOR;Mossor;RN
1761;2408102;NATAL;Natal;RN
1763;2408201;NSIA FLORESTA;Nsia Floresta;RN
1765;2408300;NOVA CRUZ;Nova Cruz;RN
1767;2408409;OLHO D'AGUA DO BORGES;Olho d'gua do Borges;RN
1769;2408508;OURO BRANCO;Ouro Branco;RN
1771;2408607;PARAN;Paran;RN
1773;2408706;PARA;Para;RN
1775;2408805;PARAZINHO;Parazinho;RN
1777;2408904;PARELHAS;Parelhas;RN
1779;2403251;PARNAMIRIM;Parnamirim;RN
1781;2409100;PASSA E FICA;Passa e Fica;RN
1783;2409209;PASSAGEM;Passagem;RN
1785;2409308;PATU;Patu;RN
1787;2409407;PAU DOS FERROS;Pau dos Ferros;RN
1789;2409506;PEDRA GRANDE;Pedra Grande;RN
1791;2409605;PEDRA PRETA;Pedra Preta;RN
1793;2409704;PEDRO AVELINO;Pedro Avelino;RN
1795;2409803;PEDRO VELHO;Pedro Velho;RN
1797;2409902;PENDNCIAS;Pendncias;RN
1799;2410009;PILES;Piles;RN
1801;2410108;POO BRANCO;Poo Branco;RN
1803;2410207;PORTALEGRE;Portalegre;RN
1805;2410306;SERRA CAIADA;Serra Caiada;RN
1807;2410405;PUREZA;Pureza;RN
1809;2410504;RAFAEL FERNANDES;Rafael Fernandes;RN
1811;2410702;RIACHO DA CRUZ;Riacho da Cruz;RN
1813;2410801;RIACHO DE SANTANA;Riacho de Santana;RN
1815;2410900;RIACHUELO;Riachuelo;RN
1817;2411007;RODOLFO FERNANDES;Rodolfo Fernandes;RN
1819;2411106;RUY BARBOSA;Ruy Barbosa;RN
1821;2411908;SO FRANCISCO DO OESTE;So Francisco do Oeste;RN
1823;2411205;SANTA CRUZ;Santa Cruz;RN
1825;2411429;SANTANA DO SERID;Santana do Serid;RN
1827;2411403;SANTANA DO MATOS;Santana do Matos;RN
1829;2411502;SANTO ANTNIO;Santo Antnio;RN
1831;2411601;SO BENTO DO NORTE;So Bento do Norte;RN
1833;2411700;SO BENTO DO TRAIR;So Bento do Trair;RN
1835;2411809;SO FERNANDO;So Fernando;RN
1837;2412005;SO GONALO DO AMARANTE;So Gonalo do Amarante;RN
1839;2412104;SO JOO DO SABUGI;So Joo do Sabugi;RN
1841;2412203;SO JOS DE MIPIBU;So Jos de Mipibu;RN
1843;2412302;SO JOS DO CAMPESTRE;So Jos do Campestre;RN
1845;2412401;SO JOS DO SERID;So Jos do Serid;RN
1847;2412500;SO MIGUEL;So Miguel;RN
1849;2412609;SO PAULO DO POTENGI;So Paulo do Potengi;RN
1851;2412708;SO PEDRO;So Pedro;RN
1853;2412807;SO RAFAEL;So Rafael;RN
1855;2412906;SO TOM;So Tom;RN
1857;2413003;SO VICENTE;So Vicente;RN
1859;2413102;SENADOR ELI DE SOUZA;Senador Eli de Souza;RN
1861;2413201;SENADOR GEORGINO AVELINO;Senador Georgino Avelino;RN
1863;2413300;SERRA DE SO BENTO;Serra de So Bento;RN
1865;2413409;SERRA NEGRA DO NORTE;Serra Negra do Norte;RN
1867;2413508;SERRINHA;Serrinha;RN
1869;2413607;SEVERIANO MELO;Severiano Melo;RN
1871;2413706;STIO NOVO;Stio Novo;RN
1873;2413805;TABOLEIRO GRANDE;Taboleiro Grande;RN
1875;2413904;TAIPU;Taipu;RN
1877;2414001;TANGAR;Tangar;RN
1879;2414100;TENENTE ANANIAS;Tenente Ananias;RN
1881;2414209;TIBAU DO SUL;Tibau do Sul;RN
1883;2414308;TIMBABA DOS BATISTAS;Timbaba dos Batistas;RN
1885;2414407;TOUROS;Touros;RN
1887;2414506;UMARIZAL;Umarizal;RN
1889;2414605;UPANEMA;Upanema;RN
1891;2414704;VRZEA;Vrzea;RN
1893;2410603;RAFAEL GODEIRO;Rafael Godeiro;RN
1895;2414803;VERA CRUZ;Vera Cruz;RN
1897;2414902;VIOSA;Viosa;RN
1899;2415008;VILA FLOR;Vila Flor;RN
1901;2500106;GUA BRANCA;gua Branca;PB
1903;2500205;AGUIAR;Aguiar;PB
1905;2500304;ALAGOA GRANDE;Alagoa Grande;PB
1907;2500403;ALAGOA NOVA;Alagoa Nova;PB
1909;2500502;ALAGOINHA;Alagoinha;PB
1911;2500601;ALHANDRA;Alhandra;PB
1913;2500700;SO JOO DO RIO DO PEIXE;So Joo do Rio do Peixe;PB
1915;2500809;ARAAGI;Araagi;PB
1917;2500908;ARARA;Arara;PB
1919;2501005;ARARUNA;Araruna;PB
1921;2501104;AREIA;Areia;PB
1923;2501203;AREIAL;Areial;PB
1925;2501302;AROEIRAS;Aroeiras;PB
1927;2413359;SERRA DO MEL;Serra do Mel;RN
1929;2501401;BAA DA TRAIO;Baa da Traio;PB
1931;2501500;BANANEIRAS;Bananeiras;PB
1933;2501609;BARRA DE SANTA ROSA;Barra de Santa Rosa;PB
1935;2501708;BARRA DE SO MIGUEL;Barra de So Miguel;PB
1937;2501807;BAYEUX;Bayeux;PB
1939;2501906;BELM;Belm;PB
1941;2502003;BELM DO BREJO DO CRUZ;Belm do Brejo do Cruz;PB
1943;2502102;BOA VENTURA;Boa Ventura;PB
1945;2502201;BOM JESUS;Bom Jesus;PB
1947;2502300;BOM SUCESSO;Bom Sucesso;PB
1949;2502409;BONITO DE SANTA F;Bonito de Santa F;PB
1951;2502508;BOQUEIRO;Boqueiro;PB
1953;2502607;IGARACY;Igaracy;PB
1955;2502706;BORBOREMA;Borborema;PB
1957;2502805;BREJO DO CRUZ;Brejo do Cruz;PB
1959;2502904;BREJO DOS SANTOS;Brejo dos Santos;PB
1961;2503001;CAAPOR;Caapor;PB
1963;2503100;CABACEIRAS;Cabaceiras;PB
1965;2503209;CABEDELO;Cabedelo;PB
1967;2503308;CACHOEIRA DOS NDIOS;Cachoeira dos ndios;PB
1969;2503407;CACIMBA DE AREIA;Cacimba de Areia;PB
1971;2503506;CACIMBA DE DENTRO;Cacimba de Dentro;PB
1973;2503605;CAIARA;Caiara;PB
1975;2503704;CAJAZEIRAS;Cajazeiras;PB
1977;2503803;CALDAS BRANDO;Caldas Brando;PB
1979;2503902;CAMALA;Camala;PB
1981;2504009;CAMPINA GRANDE;Campina Grande;PB
1983;2504108;CARRAPATEIRA;Carrapateira;PB
1985;2504207;CATINGUEIRA;Catingueira;PB
1987;2504306;CATOL DO ROCHA;Catol do Rocha;PB
1989;2504405;CONCEIO;Conceio;PB
1991;2504504;CONDADO;Condado;PB
1993;2504603;CONDE;Conde;PB
1995;2504702;CONGO;Congo;PB
1997;2504801;COREMAS;Coremas;PB
1999;2504900;CRUZ DO ESPRITO SANTO;Cruz do Esprito Santo;PB
2001;2505006;CUBATI;Cubati;PB
2003;2505105;CUIT;Cuit;PB
2005;2505204;CUITEGI;Cuitegi;PB
2007;2505303;CURRAL VELHO;Curral Velho;PB
2009;2505402;DESTERRO;Desterro;PB
2011;2505501;VISTA SERRANA;Vista Serrana;PB
2013;2505600;DIAMANTE;Diamante;PB
2015;2505709;DONA INS;Dona Ins;PB
2017;2505808;DUAS ESTRADAS;Duas Estradas;PB
2019;2505907;EMAS;Emas;PB
2021;2506004;ESPERANA;Esperana;PB
2023;2506103;FAGUNDES;Fagundes;PB
2025;2506202;FREI MARTINHO;Frei Martinho;PB
2027;2506301;GUARABIRA;Guarabira;PB
2029;2506400;GURINHM;Gurinhm;PB
2031;2506509;GURJO;Gurjo;PB
2033;2506608;IBIARA;Ibiara;PB
2035;2506707;IMACULADA;Imaculada;PB
2037;2506806;ING;Ing;PB
2039;2506905;ITABAIANA;Itabaiana;PB
2041;2507002;ITAPORANGA;Itaporanga;PB
2043;2507101;ITAPOROROCA;Itapororoca;PB
2045;2507200;ITATUBA;Itatuba;PB
2047;2507309;JACARA;Jacara;PB
2049;2507408;JERIC;Jeric;PB
2051;2507507;JOO PESSOA;Joo Pessoa;PB
2053;2507606;JUAREZ TVORA;Juarez Tvora;PB
2055;2507705;JUAZEIRINHO;Juazeirinho;PB
2057;2507804;JUNCO DO SERID;Junco do Serid;PB
2059;2507903;JURIPIRANGA;Juripiranga;PB
2061;2508000;JURU;Juru;PB
2063;2508109;LAGOA;Lagoa;PB
2065;2508208;LAGOA DE DENTRO;Lagoa de Dentro;PB
2067;2508307;LAGOA SECA;Lagoa Seca;PB
2069;2508406;LASTRO;Lastro;PB
2071;2508505;LIVRAMENTO;Livramento;PB
2073;2508604;LUCENA;Lucena;PB
2075;2508703;ME D'GUA;Me d'gua;PB
2077;2508802;MALTA;Malta;PB
2079;2508901;MAMANGUAPE;Mamanguape;PB
2081;2509008;MANARA;Manara;PB
2083;2509107;MARI;Mari;PB
2085;2509206;MASSARANDUBA;Massaranduba;PB
2087;2509305;MATARACA;Mataraca;PB
2089;2509404;MOGEIRO;Mogeiro;PB
2091;2509503;MONTADAS;Montadas;PB
2093;2509602;MONTE HOREBE;Monte Horebe;PB
2095;2509701;MONTEIRO;Monteiro;PB
2097;2509800;MULUNGU;Mulungu;PB
2099;2509909;NATUBA;Natuba;PB
2101;2510006;NAZAREZINHO;Nazarezinho;PB
2103;2510105;NOVA FLORESTA;Nova Floresta;PB
2105;2510204;NOVA OLINDA;Nova Olinda;PB
2107;2510303;NOVA PALMEIRA;Nova Palmeira;PB
2109;2510402;OLHO D'GUA;Olho d'gua;PB
2111;2510501;OLIVEDOS;Olivedos;PB
2113;2510600;OURO VELHO;Ouro Velho;PB
2115;2510709;PASSAGEM;Passagem;PB
2117;2510808;PATOS;Patos;PB
2119;2510907;PAULISTA;Paulista;PB
2121;2511004;PEDRA BRANCA;Pedra Branca;PB
2123;2511103;PEDRA LAVRADA;Pedra Lavrada;PB
2125;2511202;PEDRAS DE FOGO;Pedras de Fogo;PB
2127;2511301;PIANC;Pianc;PB
2129;2511400;PICU;Picu;PB
2131;2511509;PILAR;Pilar;PB
2133;2511608;PILES;Piles;PB
2135;2511707;PILEZINHOS;Pilezinhos;PB
2137;2511806;PIRPIRITUBA;Pirpirituba;PB
2139;2511905;PITIMBU;Pitimbu;PB
2141;2512002;POCINHOS;Pocinhos;PB
2143;2512101;POMBAL;Pombal;PB
2145;2512200;PRATA;Prata;PB
2147;2512309;PRINCESA ISABEL;Princesa Isabel;PB
2149;2512408;PUXINAN;Puxinan;PB
2151;2512507;QUEIMADAS;Queimadas;PB
2153;2512606;QUIXAB;Quixaba;PB
2155;2512705;REMGIO;Remgio;PB
2157;2512804;RIACHO DOS CAVALOS;Riacho dos Cavalos;PB
2159;2512903;RIO TINTO;Rio Tinto;PB
2161;2513000;SALGADINHO;Salgadinho;PB
2163;2513109;SALGADO DE SO FLIX;Salgado de So Flix;PB
2165;2513208;SANTA CRUZ;Santa Cruz;PB
2167;2513307;SANTA HELENA;Santa Helena;PB
2169;2513406;SANTA LUZIA;Santa Luzia;PB
2171;2513505;SANTANA DE MANGUEIRA;Santana de Mangueira;PB
2173;2513604;SANTANA DOS GARROTES;Santana dos Garrotes;PB
2175;2513703;SANTA RITA;Santa Rita;PB
2177;2513802;SANTA TERESINHA;Santa Teresinha;PB
2179;2513901;SO BENTO;So Bento;PB
2181;2514008;SO JOO DO CARIRI;So Joo do Cariri;PB
2183;2514107;SO JOO DO TIGRE;So Joo do Tigre;PB
2185;2514206;SO JOS DA LAGOA TAPADA;So Jos da Lagoa Tapada;PB
2187;2514305;SO JOS DE CAIANA;So Jos de Caiana;PB
2189;2514404;SO JOS DE ESPINHARAS;So Jos de Espinharas;PB
2191;2514503;SO JOS DE PIRANHAS;So Jos de Piranhas;PB
2193;2514602;SO JOS DO BONFIM;So Jos do Bonfim;PB
2195;2514701;SO JOS DO SABUGI;So Jos do Sabugi;PB
2197;2514800;SO JOS DOS CORDEIROS;So Jos dos Cordeiros;PB
2199;2514909;SO MAMEDE;So Mamede;PB
2201;2515005;SO MIGUEL DE TAIPU;So Miguel de Taipu;PB
2203;2515104;SO SEBASTIO DE LAGOA DE ROA;So Sebastio de Lagoa de Roa;PB
2205;2515203;SO SEBASTIO DO UMBUZEIRO;So Sebastio do Umbuzeiro;PB
2207;2515302;SAP;Sap;PB
2209;2515401;SO VICENTE DO SERID;So Vicente do Serid;PB
2211;2515500;SERRA BRANCA;Serra Branca;PB
2213;2515609;SERRA DA RAIZ;Serra da Raiz;PB
2215;2515708;SERRA GRANDE;Serra Grande;PB
2217;2515807;SERRA REDONDA;Serra Redonda;PB
2219;2515906;SERRARIA;Serraria;PB
2221;2516003;SOLNEA;Solnea;PB
2223;2516102;SOLEDADE;Soledade;PB
2225;2516201;SOUSA;Sousa;PB
2227;2516300;SUM;Sum;PB
2229;2516409;TACIMA;Tacima;PB
2231;2516508;TAPERO;Tapero;PB
2233;2516607;TAVARES;Tavares;PB
2235;2516706;TEIXEIRA;Teixeira;PB
2237;2516805;TRIUNFO;Triunfo;PB
2239;2516904;UIRANA;Uirana;PB
2241;2517001;UMBUZEIRO;Umbuzeiro;PB
2243;2517100;VRZEA;Vrzea;PB
2245;2201150;BAIXA GRANDE DO RIBEIRO;Baixa Grande do Ribeiro;PI
2247;2202251;CANAVIEIRA;Canavieira;PI
2249;2202752;COLNIA DO GURGUIA;Colnia do Gurguia;PI
2251;2201929;BONFIM DO PIAU;Bonfim do Piau;PI
2253;2202778;COLNIA DO PIAU;Colnia do Piau;PI
2255;2202851;CORONEL JOS DIAS;Coronel Jos Dias;PI
2257;2203750;FARTURA DO PIAU;Fartura do Piau;PI
2259;2205565;LAGOA DO BARRO DO PIAU;Lagoa do Barro do Piau;PI
2261;2209377;SANTA ROSA DO PIAU;Santa Rosa do Piau;PI
2263;2209559;SO BRAZ DO PIAU;So Braz do Piau;PI
2265;2210359;SO LOURENO DO PIAU;So Loureno do Piau;PI
2267;2211357;VRZEA BRANCA;Vrzea Branca;PI
2269;2200277;ALEGRETE DO PIAU;Alegrete do Piau;PI
2271;2202091;CALDEIRO GRANDE DO PIAU;Caldeiro Grande do Piau;PI
2273;2205151;JACOBINA DO PIAU;Jacobina do Piau;PI
2275;2205953;MARCOLNDIA;Marcolndia;PI
2277;2207777;PATOS DO PIAU;Patos do Piau;PI
2279;2208650;QUEIMADA NOVA;Queimada Nova;PI
2281;2209351;SANTANA DO PIAU;Santana do Piau;PI
2283;2201960;BRASILEIRA;Brasileira;PI
2285;2210052;SO JOS DO DIVINO;So Jos do Divino;PI
2287;2201919;BOM PRINCPIO DO PIAU;Bom Princpio do Piau;PI
2289;2608453;LAGOA DO CARRO;Lagoa do Carro;PE
2291;2616183;VERTENTE DO LRIO;Vertente do Lrio;PE
2293;2616506;XEXU;Xexu;PE
2295;2608255;JUCATI;Jucati;PE
2297;2612455;SANTA CRUZ;Santa Cruz;PE
2299;2605152;DORMENTES;Dormentes;PE
2301;2600104;AFOGADOS DA INGAZEIRA;Afogados da Ingazeira;PE
2303;2600203;AFRNIO;Afrnio;PE
2305;2600302;AGRESTINA;Agrestina;PE
2307;2600401;GUA PRETA;gua Preta;PE
2309;2600500;GUAS BELAS;guas Belas;PE
2311;2600609;ALAGOINHA;Alagoinha;PE
2313;2600708;ALIANA;Aliana;PE
2315;2600807;ALTINHO;Altinho;PE
2317;2600906;AMARAJI;Amaraji;PE
2319;2601003;ANGELIM;Angelim;PE
2321;2601102;ARARIPINA;Araripina;PE
2323;2601201;ARCOVERDE;Arcoverde;PE
2325;2601300;BARRA DE GUABIRABA;Barra de Guabiraba;PE
2327;2601409;BARREIROS;Barreiros;PE
2329;2601508;BELM DE MARIA;Belm de Maria;PE
2331;2601607;BELM DE SO FRANCISCO;Belm do So Francisco;PE
2333;2601706;BELO JARDIM;Belo Jardim;PE
2335;2601805;BETNIA;Betnia;PE
2337;2601904;BEZERROS;Bezerros;PE
2339;2602001;BODOC;Bodoc;PE
2341;2602100;BOM CONSELHO;Bom Conselho;PE
2343;2602209;BOM JARDIM;Bom Jardim;PE
2345;2602308;BONITO;Bonito;PE
2347;2602407;BREJO;Brejo;PE
2349;2602506;BREJINHO;Brejinho;PE
2351;2602605;BREJO DA MADRE DE DEUS;Brejo da Madre de Deus;PE
2353;2602704;BUENOS AIRES;Buenos Aires;PE
2355;2602803;BUQUE;Buque;PE
2357;2602902;CABO DE SANTO AGOSTINHO;Cabo de Santo Agostinho;PE
2359;2603009;CABROB;Cabrob;PE
2361;2603108;CACHOEIRINHA;Cachoeirinha;PE
2363;2603207;CAETS;Caets;PE
2365;2603306;CALADO;Calado;PE
2367;2603405;CALUMBI;Calumbi;PE
2369;2603504;CAMOCIM DE SO FLIX;Camocim de So Flix;PE
2371;2603603;CAMUTANGA;Camutanga;PE
2373;2603702;CANHOTINHO;Canhotinho;PE
2375;2603801;CAPOEIRAS;Capoeiras;PE
2377;2603900;CARNABA;Carnaba;PE
2379;2604007;CARPINA;Carpina;PE
2381;2604106;CARUARU;Caruaru;PE
2383;2604205;CATENDE;Catende;PE
2385;2604304;CEDRO;Cedro;PE
2387;2604403;CH DE ALEGRIA;Ch de Alegria;PE
2389;2604502;CH GRANDE;Ch Grande;PE
2391;2604601;CONDADO;Condado;PE
2393;2604700;CORRENTES;Correntes;PE
2395;2604809;CORTS;Corts;PE
2397;2604908;CUMARU;Cumaru;PE
2399;2605004;CUPIRA;Cupira;PE
2401;2605103;CUSTDIA;Custdia;PE
2403;2605202;ESCADA;Escada;PE
2405;2605301;EXU;Exu;PE
2407;2605400;FEIRA NOVA;Feira Nova;PE
2409;2605509;FERREIROS;Ferreiros;PE
2411;2605608;FLORES;Flores;PE
2413;2605707;FLORESTA;Floresta;PE
2415;2605806;FREI MIGUELINHO;Frei Miguelinho;PE
2417;2605905;GAMELEIRA;Gameleira;PE
2419;2606002;GARANHUNS;Garanhuns;PE
2421;2606101;GLRIA DO GOIT;Glria do Goit;PE
2423;2606200;GOIANA;Goiana;PE
2425;2606309;GRANITO;Granito;PE
2427;2606408;GRAVAT;Gravat;PE
2429;2606507;IATI;Iati;PE
2431;2606606;IBIMIRIM;Ibimirim;PE
2433;2606705;IBIRAJUBA;Ibirajuba;PE
2435;2606804;IGARASSU;Igarassu;PE
2437;2606903;IGUARACI;Iguaracy;PE
2439;2607000;INAJ;Inaj;PE
2441;2607109;INGAZEIRA;Ingazeira;PE
2443;2607208;IPOJUCA;Ipojuca;PE
2445;2607307;IPUBI;Ipubi;PE
2447;2607406;ITACURUBA;Itacuruba;PE
2449;2607505;ITABA;Itaba;PE
2451;2607604;ILHA DE ITAMARAC;Ilha de Itamarac;PE
2453;2607703;ITAPETIM;Itapetim;PE
2455;2607802;ITAQUITINGA;Itaquitinga;PE
2457;2607901;JABOATO DOS GUARARAPES;Jaboato dos Guararapes;PE
2459;2608008;JATABA;Jataba;PE
2461;2608107;JOO ALFREDO;Joo Alfredo;PE
2463;2608206;JOAQUIM NABUCO;Joaquim Nabuco;PE
2465;2608305;JUPI;Jupi;PE
2467;2608404;JUREMA;Jurema;PE
2469;2608503;LAGOA DO ITAENGA;Lagoa de Itaenga;PE
2471;2608602;LAGOA DO OURO;Lagoa do Ouro;PE
2473;2608701;LAGOA DOS GATOS;Lagoa dos Gatos;PE
2475;2608800;LAJEDO;Lajedo;PE
2477;2608909;LIMOEIRO;Limoeiro;PE
2479;2609006;MACAPARANA;Macaparana;PE
2481;2609105;MACHADOS;Machados;PE
2483;2609204;MARAIAL;Maraial;PE
2485;2609303;MIRANDIBA;Mirandiba;PE
2487;2609402;MORENO;Moreno;PE
2489;2609501;NAZAR DA MATA;Nazar da Mata;PE
2491;2609600;OLINDA;Olinda;PE
2493;2609709;OROB;Orob;PE
2495;2609808;OROC;Oroc;PE
2497;2609907;OURICURI;Ouricuri;PE
2499;2610004;PALMARES;Palmares;PE
2501;2610103;PALMEIRINA;Palmeirina;PE
2503;2610202;PANELAS;Panelas;PE
2505;2610301;PARANATAMA;Paranatama;PE
2507;2610400;PARNAMIRIM;Parnamirim;PE
2509;2610509;PASSIRA;Passira;PE
2511;2610608;PAUDALHO;Paudalho;PE
2513;2610707;PAULISTA;Paulista;PE
2515;2610806;PEDRA;Pedra;PE
2517;2610905;PESQUEIRA;Pesqueira;PE
2519;2611002;PETROLNDIA;Petrolndia;PE
2521;2611101;PETROLINA;Petrolina;PE
2523;2611200;POO;Poo;PE
2525;2611309;POMBOS;Pombos;PE
2527;2611408;PRIMAVERA;Primavera;PE
2529;2611507;QUIPAP;Quipap;PE
2531;2611606;RECIFE;Recife;PE
2533;2611705;RIACHO DAS ALMAS;Riacho das Almas;PE
2535;2611804;RIBEIRO;Ribeiro;PE
2537;2611903;RIO FORMOSO;Rio Formoso;PE
2539;2612000;SAIR;Sair;PE
2541;2612109;SALGADINHO;Salgadinho;PE
2543;2612208;SALGUEIRO;Salgueiro;PE
2545;2612307;SALO;Salo;PE
2547;2612406;SANHAR;Sanhar;PE
2549;2612505;SANTA CRUZ DO CAPIBARIBE;Santa Cruz do Capibaribe;PE
2551;2612604;SANTA MARIA DA BOA VISTA;Santa Maria da Boa Vista;PE
2553;2612703;SANTA MARIA DO CAMBUC;Santa Maria do Cambuc;PE
2555;2612802;SANTA TEREZINHA;Santa Terezinha;PE
2557;2612901;SO BENEDITO DO SUL;So Benedito do Sul;PE
2559;2613008;SO BENTO DO UNA;So Bento do Una;PE
2561;2613107;SO CAITANO;So Caitano;PE
2563;2613206;SO JOO;So Joo;PE
2565;2613305;SO JOAQUIM DO MONTE;So Joaquim do Monte;PE
2567;2613404;SO JOS DA COROA GRANDE;So Jos da Coroa Grande;PE
2569;2613503;SO JOS DO BELMONTE;So Jos do Belmonte;PE
2571;2613602;SO JOS DO EGITO;So Jos do Egito;PE
2573;2613701;SO LOURENO DA MATA;So Loureno da Mata;PE
2575;2613800;SO VICENTE FERRER;So Vicente Frrer;PE
2577;2613909;SERRA TALHADA;Serra Talhada;PE
2579;2614006;SERRITA;Serrita;PE
2581;2614105;SERTNIA;Sertnia;PE
2583;2614204;SIRINHAM;Sirinham;PE
2585;2614303;MOREILNDIA;Moreilndia;PE
2587;2614402;SOLIDO;Solido;PE
2589;2614501;SURUBIM;Surubim;PE
2591;2614600;TABIRA;Tabira;PE
2593;2614709;TACAIMB;Tacaimb;PE
2595;2614808;TACARATU;Tacaratu;PE
2597;2607653;ITAMB;Itamb;PE
2599;2615003;TAQUARITINGA DO NORTE;Taquaritinga do Norte;PE
2601;2615102;TEREZINHA;Terezinha;PE
2603;2615201;TERRA NOVA;Terra Nova;PE
2605;2615300;TIMBABA;Timbaba;PE
2607;2615409;TORITAMA;Toritama;PE
2609;2615508;TRACUNHAM;Tracunham;PE
2611;2615607;TRINDADE;Trindade;PE
2613;2615706;TRIUNFO;Triunfo;PE
2615;2615805;TUPANATINGA;Tupanatinga;PE
2617;2615904;TUPARETAMA;Tuparetama;PE
2619;2616001;VENTUROSA;Venturosa;PE
2621;2616100;VERDEJANTE;Verdejante;PE
2623;2616209;VERTENTES;Vertentes;PE
2625;2616308;VICNCIA;Vicncia;PE
2627;2616407;VITRIA DE SANTO ANTO;Vitria de Santo Anto;PE
2629;2603454;CAMARAGIBE;Camaragibe;PE
2631;2600054;ABREU E LIMA;Abreu e Lima;PE
2633;2607752;ITAPISSUMA;Itapissuma;PE
2635;2603926;CARNAUBEIRA DA PENHA;Carnaubeira da Penha;PE
2637;2611533;QUIXABA;Quixaba;PE
2639;2612471;SANTA CRUZ DA BAIXA VERDE;Santa Cruz da Baixa Verde;PE
2641;2706448;PARIPUEIRA;Paripueira;AL
2643;2702553;ESTRELA DE ALAGOAS;Estrela de Alagoas;AL
2645;2706422;PARICONHA;Pariconha;AL
2647;2806404;SANTANA DO SO FRANCISCO;Santana do So Francisco;SE
2649;3162955;SO JOS DA LAPA;So Jos da Lapa;MG
